node_id,longitude,latitude
427593398,77.5681969,13.0036822
427593399,77.569897,13.0064497
427593400,77.5637617,13.0066825
427593401,77.5623357,13.0067259
427593402,77.5612428,13.0067583
427593403,77.5612162,13.0077021
427593404,77.5611312,13.0083694
427593405,77.579517,12.9991087
427593406,77.5791848,13.0027978
428048569,77.5612524,13.004434
428054932,77.5714556,12.9949048
428054934,77.5714393,12.9956096
428054936,77.571423,12.9963159
429286725,77.5779759,12.9901736
429286728,77.5773798,12.9913488
429286730,77.5774991,12.9917567
429286731,77.578764,12.9928378
429286736,77.5805765,12.9943547
429286737,77.5816508,12.997034
429286739,77.5820059,12.9976347
429286745,77.5783636,12.9988281
429286747,77.5817862,12.9986725
429286748,77.5806938,12.9987018
429286749,77.5795146,12.9987586
429286755,77.5807126,12.9930303
429286756,77.5801088,12.9921921
429286757,77.579615,12.9911024
429724018,77.5716744,12.9906029
429724033,77.5678413,12.9911972
429724034,77.5677319,12.9941367
429724035,77.5686878,12.992717
429724037,77.5692395,12.9911473
442966046,77.5630466,13.0057164
442966048,77.5630107,13.0076133
442966051,77.5629867,13.0083046
442966052,77.5629649,13.0089527
442966201,77.5667015,13.0060964
442966312,77.5637992,13.0051258
442966467,77.5623871,13.0051189
445327430,77.5654694,13.0142656
446812245,77.5597673,12.9974974
446812246,77.5573932,12.9983501
446860615,77.5677418,12.9933951
446860616,77.5634643,12.9937147
446860617,77.5632441,12.9927688
446860620,77.5664151,12.993459
447079473,77.5696022,12.9932689
447079475,77.5693615,12.9932382
447079597,77.5693468,12.9941849
447079599,77.5687077,12.995925
448116610,77.5554487,12.9943116
448116872,77.5578315,12.9909822
448117355,77.5596846,12.9963838
448117476,77.5631083,12.991862
448117514,77.5620308,12.9929351
456029872,77.572572,12.9910481
456029876,77.5738843,12.9907228
456029880,77.5728992,12.9910589
456029891,77.5727319,12.9963581
456029895,77.57099,12.9963206
456029897,77.571007,12.9956015
456029899,77.5710303,12.9948998
456029902,77.5706833,12.9956081
456029904,77.5709993,12.9959549
456029906,77.5703059,12.9959479
456029909,77.5709788,12.9967606
456029913,77.5718952,12.99598
456029916,77.5719061,12.9952725
456029931,77.5731542,12.9963675
456029932,77.573193,12.9957014
456029933,77.5732224,12.9950262
456029935,77.5765111,12.9947737
456029936,77.5771828,12.9946312
456029939,77.5741126,12.9950697
456029941,77.5740463,12.9969211
456029943,77.5740706,12.9963773
456029945,77.574501,12.9963964
456029947,77.5755779,12.9966207
456029949,77.5747982,12.9950734
456029951,77.5747202,12.996442
456029952,77.5747499,12.995746
456029954,77.5728173,12.9930085
456033065,77.5682784,12.9940982
456033067,77.5692228,12.9945172
456033068,77.5680632,12.9944376
456033070,77.5677697,12.9948131
456033072,77.5690813,12.9948783
456033073,77.5689773,12.9952157
456033075,77.5675384,12.9951618
456033077,77.5672922,12.9955094
456033078,77.5688292,12.9955708
456033081,77.567022,12.9958707
456033082,77.5686022,12.9962803
456033084,77.5667343,12.996218
456033107,77.5757795,12.996234
456033111,77.5756264,12.9965312
456033113,77.574988,12.9960761
456033115,77.5767653,12.9957817
456033117,77.5767149,12.996569
456033120,77.5746912,12.9973341
456033123,77.5766704,12.9976092
456033128,77.5751566,12.9974522
456033131,77.5782886,12.9975832
456033134,77.5794787,12.9979901
456033136,77.5776812,12.9976092
456033139,77.5794384,12.9975338
456033140,77.5765055,12.9976037
456033141,77.5766029,12.9989728
456033143,77.5776971,12.9980958
456033144,77.5765242,12.9980702
